Time (ms), eCO2 density (ppm)
148349,400.0
148449,400.0
148549,400.0
148653,400.0
148758,400.0
148858,400.0
148958,400.0
149058,400.0
149158,400.0
149268,400.0
149368,400.0
149471,400.0
149578,400.0
149678,400.0
149777,400.0
149877,400.0
149981,400.0
150087,400.0
150187,400.0
150287,400.0
150387,400.0
150487,400.0
150597,400.0
150697,400.0
150797,400.0
150897,400.0
150996,400.0
151106,400.0
151206,400.0
151310,400.0
151416,400.0
151516,400.0
151616,400.0
151716,400.0
151816,400.0
151925,400.0
152025,400.0
152125,400.0
152225,400.0
152325,400.0
152435,400.0
152535,400.0
152639,400.0
152745,400.0
152845,400.0
152945,400.0
153045,400.0
153148,400.0
153255,400.0
153364,400.0
153464,400.0
153564,400.0
153664,400.0
153774,400.0
153874,400.0
153977,400.0
154084,400.0
154183,400.0
154293,400.0
154393,400.0
154497,400.0
154603,400.0
154703,400.0
154803,400.0
154903,400.0
155003,400.0
155113,400.0
155213,400.0
155313,400.0
155412,400.0
155512,400.0
155622,400.0
155722,400.0
155826,400.0
155932,400.0
156032,400.0
156132,400.0
156232,400.0
156335,400.0
156441,400.0
156541,400.0
156641,400.0
156741,400.0
156841,400.0
156951,400.0
157051,400.0
157154,400.0
157261,400.0
157361,400.0
157461,400.0
157560,400.0
157664,400.0
157770,400.0
157870,400.0
157970,400.0
158070,400.0
158170,400.0
158279,400.0
158379,400.0
158480,400.0
158579,400.0
158679,400.0
158789,400.0
158889,400.0
158993,400.0
159099,400.0
159199,400.0
159299,400.0
159399,400.0
159499,400.0
159608,400.0
159708,400.0
159808,400.0
159908,400.0
160008,400.0
160118,400.0
160218,400.0
160321,400.0
160427,400.0
160527,400.0
160628,400.0
160727,400.0
160831,400.0
160937,400.0
161037,400.0
161137,400.0
161237,400.0
161337,400.0
161447,400.0
161547,400.0
161650,400.0
161757,400.0
161856,400.0
161966,400.0
162066,400.0
162170,400.0
162276,400.0
162376,400.0
162476,400.0
162576,400.0
162676,400.0
162785,400.0
162885,400.0
162985,400.0
163085,400.0
163185,400.0
163295,400.0
163395,400.0
163498,400.0
163605,400.0
163705,400.0
163805,400.0
163904,400.0
164008,400.0
164114,400.0
164214,400.0
164314,400.0
164414,400.0
164514,400.0
164624,400.0
164724,400.0
164827,400.0
164934,400.0
165033,400.0
165143,400.0
