Time (ms), Y Acceleration (g)
14964493,0.044921875
14964593,0.04833984375
14964702,0.05078125
14964802,0.0458984375
14964902,0.0458984375
14965002,0.04150390625
14965102,0.04638671875
14965211,0.04541015625
14965312,0.04443359375
14965412,0.04931640625
14965511,0.0390625
14965611,0.041015625
14965721,0.04541015625
14965821,0.0478515625
14965921,0.0458984375
14966030,0.044921875
14966130,0.044921875
14966230,0.04931640625
14966330,0.04931640625
14966430,0.04638671875
14966539,0.04248046875
14966640,0.0439453125
14966740,0.0400390625
14966840,0.04052734375
14966940,0.04638671875
14967049,0.0556640625
14967149,0.0400390625
14967249,0.041015625
14967358,0.05322265625
14967459,0.04248046875
14967562,0.046875
14967658,0.0400390625
14967758,0.044921875
14967868,0.05224609375
14967968,0.04833984375
14968068,0.0458984375
14968168,0.0498046875
14968268,0.04248046875
14968377,0.041015625
14968478,0.04443359375
14968578,0.0439453125
14968677,0.04345703125
14968777,0.04931640625
14968886,0.0380859375
14968987,0.0380859375
14969087,0.04638671875
14969196,0.05126953125
14969296,0.04833984375
14969396,0.04638671875
14969496,0.04345703125
14969596,0.046875
14969705,0.04248046875
14969806,0.04931640625
14969906,0.04931640625
14970006,0.044921875
14970106,0.0439453125
14970215,0.05029296875
14970315,0.04638671875
14970415,0.0458984375
14970524,0.04248046875
14970625,0.05029296875
14970728,0.0439453125
14970825,0.037109375
14970925,0.0478515625
14971034,0.041015625
14971134,0.04345703125
14971234,0.041015625
14971334,0.0439453125
14971434,0.03662109375
14971543,0.0517578125
14971644,0.0400390625
14971744,0.048828125
14971853,0.04150390625
14971953,0.05322265625
14972062,0.0498046875
14972163,0.0380859375
14972263,0.0478515625
14972372,0.05029296875
14972472,0.0419921875
14972572,0.04345703125
14972672,0.04541015625
14972772,0.05078125
14972891,0.0498046875
14972992,0.05419921875
14973092,0.0439453125
14973192,0.04248046875
14973292,0.04443359375
14973401,0.04443359375
14973501,0.0439453125
14973601,0.05322265625
14973710,0.044921875
14973811,0.05419921875
14973911,0.04541015625
14974010,0.05419921875
14974110,0.0546875
14974220,0.05029296875
14974320,0.052734375
14974420,0.044921875
14974520,0.041015625
14974620,0.044921875
14974729,0.0478515625
14974830,0.05029296875
14974930,0.0439453125
14975039,0.0419921875
14975139,0.046875
14975248,0.05078125
14975349,0.05810546875
14975449,0.0400390625
14975558,0.0458984375
14975658,0.05029296875
14975758,0.04638671875
14975858,0.04248046875
14975958,0.046875
14976067,0.03515625
14976168,0.0458984375
14976268,0.041015625
14976367,0.046875
14976467,0.0517578125
14976577,0.048828125
14976677,0.05224609375
14976777,0.04248046875
14976886,0.0517578125
14976987,0.046875
14977087,0.04541015625
14977187,0.048828125
14977287,0.04296875
14977396,0.0419921875
14977496,0.0498046875
14977596,0.05517578125
14977696,0.05029296875
14977796,0.0478515625
14977905,0.04931640625
14978006,0.03857421875
14978106,0.0419921875
14978215,0.04296875
14978315,0.0439453125
14978418,0.04931640625
14978515,0.03662109375
14978615,0.0517578125
14978724,0.0419921875
14978824,0.0458984375
14978924,0.0419921875
14979024,0.0537109375
14979124,0.0458984375
14979234,0.0400390625
14979334,0.0390625
14979434,0.0517578125
14979543,0.04541015625
14979643,0.05126953125
14979753,0.05029296875
14979853,0.04443359375
14979953,0.0458984375
14980062,0.0498046875
14980163,0.03955078125
14980263,0.0390625
14980362,0.044921875
14980462,0.0478515625
14980572,0.0478515625
14980672,0.03857421875
14980772,0.04931640625
14980872,0.04833984375
14980972,0.04638671875
14981081,0.04296875
14981182,0.05078125
14981281,0.046875
14981391,0.0478515625
14981491,0.044921875
14981591,0.0439453125
14981691,0.046875
14981791,0.046875
14981900,0.04638671875
14982001,0.0498046875
14982100,0.04150390625
14982200,0.04638671875
14982300,0.04443359375
14982409,0.048828125
14982510,0.05126953125
14982610,0.041015625
14982719,0.04052734375
14982819,0.0439453125
14982929,0.041015625
14983029,0.04931640625
14983129,0.04833984375
14983238,0.0498046875
14983339,0.05029296875
14983439,0.0439453125
14983539,0.05419921875
14983639,0.0419921875
14983748,0.04345703125
14983848,0.04443359375
14983948,0.05078125
14984048,0.05078125
14984148,0.048828125
14984257,0.04443359375
14984358,0.0439453125
14984457,0.05078125
14984567,0.04443359375
14984667,0.041015625
14984767,0.04345703125
14984867,0.0439453125
14984967,0.0517578125
14985076,0.04833984375
14985177,0.05029296875
14985276,0.03955078125
14985376,0.04541015625
14985476,0.04833984375
14985586,0.046875
14985686,0.04638671875
14985786,0.04443359375
14985895,0.0390625
14985995,0.03857421875
14986098,0.0556640625
14986195,0.04150390625
14986295,0.04638671875
14986404,0.05322265625
14986505,0.04833984375
14986605,0.044921875
14986704,0.0478515625
14986804,0.04931640625
14986914,0.0458984375
14987014,0.04541015625
14987114,0.05078125
14987214,0.05126953125
14987314,0.03955078125
14987423,0.05078125
14987524,0.05029296875
14987623,0.046875
14987733,0.03125
14987833,0.04345703125
14987933,0.04541015625
14988033,0.046875
14988133,0.04296875
14988242,0.0419921875
14988343,0.03271484375
14988442,0.04296875
14988542,0.05029296875
14988642,0.0498046875
14988751,0.052734375
14988852,0.0517578125
14988952,0.04052734375
14989061,0.04052734375
14989161,0.04248046875
14989261,0.048828125
14989361,0.04638671875
14989461,0.046875
14989570,0.04248046875
14989671,0.04833984375
14989771,0.04345703125
14989870,0.048828125
14989970,0.04638671875
14990080,0.044921875
14990180,0.0400390625
14990280,0.04248046875
14990389,0.056640625
14990490,0.04833984375
14990599,0.04931640625
14990700,0.05419921875
14990799,0.05029296875
14990909,0.04443359375
14991009,0.041015625
14991109,0.04150390625
14991209,0.05322265625
14991309,0.0517578125
14991418,0.0478515625
14991519,0.05224609375
14991618,0.0419921875
14991718,0.044921875
14991818,0.04345703125
14991928,0.04345703125
14992028,0.05126953125
14992128,0.04052734375
14992237,0.03564453125
14992337,0.0517578125
14992437,0.05029296875
14992537,0.04296875
14992637,0.04833984375
14992746,0.046875
14992847,0.04638671875
14992947,0.03857421875
14993046,0.04931640625
14993146,0.0517578125
14993256,0.04248046875
14993356,0.05859375
14993456,0.0419921875
14993565,0.04052734375
14993666,0.05615234375
14993769,0.041015625
14993865,0.04052734375
14993965,0.04345703125
14994075,0.0517578125
14994175,0.05078125
14994275,0.05029296875
14994375,0.05029296875
14994475,0.041015625
14994584,0.04052734375
14994685,0.04833984375
14994784,0.0439453125
14994884,0.05078125
14994984,0.03857421875
14995093,0.0478515625
14995194,0.04443359375
14995294,0.04638671875
14995403,0.04248046875
14995503,0.05517578125
14995603,0.05126953125
14995703,0.046875
14995803,0.04931640625
14995912,0.04541015625
14996013,0.05078125
14996113,0.03662109375
14996212,0.037109375
14996312,0.04296875
14996422,0.04248046875
14996522,0.05419921875
14996622,0.046875
14996731,0.04443359375
14996832,0.0400390625
14996935,0.05126953125
