Time (ms), Z Acceleration (g)
8484441,-0.1162109375
8484541,-0.130859375
8484641,-0.12841796875
8484751,-0.0947265625
8484850,-0.1162109375
8484950,-0.115234375
8485050,-0.103515625
8485150,-0.12548828125
8485260,-0.1123046875
8485360,-0.12060546875
8485460,-0.1103515625
8485570,-0.11474609375
8485669,-0.11083984375
8485769,-0.11376953125
8485869,-0.11962890625
8485969,-0.1142578125
8486079,-0.1103515625
8486179,-0.1162109375
8486279,-0.115234375
8486389,-0.123046875
8486488,-0.109375
8486598,-0.12744140625
8486698,-0.1298828125
8486798,-0.109375
8486908,-0.1103515625
8487008,-0.1201171875
8487108,-0.1240234375
8487207,-0.1259765625
8487307,-0.10888671875
8487418,-0.115234375
8487517,-0.11376953125
8487617,-0.126953125
8487717,-0.10791015625
8487817,-0.1220703125
8487927,-0.1162109375
8488026,-0.10107421875
8488126,-0.115234375
8488226,-0.11474609375
8488326,-0.1240234375
8488436,-0.1162109375
8488536,-0.11767578125
8488636,-0.1123046875
8488746,-0.11669921875
8488845,-0.11767578125
8488945,-0.11962890625
8489045,-0.1162109375
8489145,-0.1240234375
8489255,-0.12109375
8489355,-0.103515625
8489455,-0.10595703125
8489555,-0.119140625
8489654,-0.12158203125
8489764,-0.119140625
8489864,-0.11328125
8489964,-0.119140625
8490074,-0.09619140625
8490174,-0.1201171875
8490274,-0.11669921875
8490374,-0.1142578125
8490473,-0.1259765625
8490584,-0.12646484375
8490683,-0.1240234375
8490783,-0.1123046875
8490883,-0.11572265625
8490983,-0.11181640625
8491093,-0.11865234375
8491193,-0.10009765625
8491292,-0.12646484375
8491403,-0.10595703125
8491502,-0.111328125
8491612,-0.10009765625
8491712,-0.12060546875
8491812,-0.125
8491922,-0.11083984375
8492021,-0.123046875
8492121,-0.12158203125
8492221,-0.11181640625
8492321,-0.11865234375
8492431,-0.1103515625
8492531,-0.0986328125
8492631,-0.1142578125
8492731,-0.10986328125
8492830,-0.11962890625
8492941,-0.1171875
8493040,-0.111328125
8493140,-0.123046875
8493250,-0.13232421875
8493350,-0.11376953125
8493450,-0.1162109375
8493550,-0.1123046875
8493649,-0.1015625
8493760,-0.11962890625
8493859,-0.11669921875
8493959,-0.1259765625
8494059,-0.1162109375
8494159,-0.11474609375
8494269,-0.11083984375
8494369,-0.1240234375
8494468,-0.1142578125
8494578,-0.12060546875
8494678,-0.1171875
8494778,-0.1328125
8494878,-0.11865234375
8494978,-0.1123046875
8495088,-0.12158203125
8495188,-0.1064453125
8495287,-0.11572265625
8495387,-0.14013671875
