Date    ,Time    ,Latitude  ,Longitude ,Head,Km/h,Alt-m  ,Lock,  ,Temp C,Pa    ,
02/28/35,15:58:30,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.3,093684,
02/28/35,15:58:36,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.1,093681,
02/28/35,15:58:42,+034.67788,-117.82426,0285,0005,+000802,0003,  ,+006.0,093364,
02/28/35,15:58:48,+034.67791,-117.82436,0280,0007,+000809,0003,  ,+006.3,093078,
02/28/35,15:58:54,+034.67790,-117.82446,0272,0005,+000822,0003,  ,+007.3,092534,
02/28/35,15:59:00,+034.67792,-117.82453,0280,0003,+000832,0003,  ,+008.5,092292,
02/28/35,15:59:06,+034.67801,-117.82467,0311,0012,+000840,0003,  ,+009.6,091922,
02/28/35,15:59:12,+034.67812,-117.82487,0305,0016,+000848,0003,  ,+010.8,090423,
02/28/35,15:59:18,+034.67834,-117.82504,0326,0022,+000854,0003,  ,+011.5,091273,
02/28/35,15:59:24,+034.67859,-117.82532,0322,0022,+000859,0003,  ,+012.1,089517,
02/28/35,15:59:30,+034.67879,-117.82562,0295,0020,+000864,0003,  ,+012.5,090690,
02/28/35,15:59:36,+034.67891,-117.82583,0328,0016,+000880,0003,  ,+012.8,090335,
02/28/35,15:59:42,+034.67897,-117.82610,0289,0016,+000903,0003,  ,+013.0,088480,
02/28/35,15:59:48,+034.67905,-117.82635,0311,0018,+000921,0003,  ,+013.1,089725,
02/28/35,15:59:54,+034.67898,-117.82670,0264,0022,+000950,0003,  ,+013.1,089394,
02/28/35,16:00:00,+034.67892,-117.82703,0271,0022,+000981,0003,  ,+013.0,089036,
02/28/35,16:00:06,+034.67890,-117.82732,0277,0012,+001023,0003,  ,+013.0,087163,
02/28/35,16:00:12,+034.67870,-117.82784,0265,0027,+001074,0003,  ,+012.8,088392,
02/28/35,16:00:18,+034.67861,-117.82818,0253,0022,+001123,0003,  ,+012.8,086483,
02/28/35,16:00:24,+034.67836,-117.82849,0234,0025,+001170,0003,  ,+012.6,087717,
02/28/35,16:00:30,+034.67820,-117.82898,0249,0031,+001214,0003,  ,+012.5,087348,
02/28/35,16:00:36,+034.67791,-117.82934,0222,0029,+001247,0003,  ,+012.4,087032,
02/28/35,16:00:42,+034.67765,-117.82987,0244,0035,+001279,0003,  ,+012.2,086726,
02/28/35,16:00:48,+034.67734,-117.83027,0217,0031,+001317,0003,  ,+012.1,086420,
02/28/35,16:00:54,+034.67688,-117.83063,0218,0027,+001353,0003,  ,+012.1,084500,
02/28/35,16:01:00,+034.67660,-117.83109,0234,0037,+001389,0003,  ,+011.8,085778,
02/28/35,16:01:06,+034.67623,-117.83147,0213,0027,+001422,0003,  ,+011.8,084016,
02/28/35,16:01:12,+034.67589,-117.83177,0219,0027,+001453,0003,  ,+011.7,084402,
02/28/35,16:01:18,+034.67549,-117.83228,0235,0040,+001488,0003,  ,+011.4,084858,
02/28/35,16:01:24,+034.67515,-117.83275,0221,0031,+001524,0003,  ,+011.2,084506,
02/28/35,16:01:30,+034.67478,-117.83333,0239,0042,+001558,0003,  ,+011.1,084132,
02/28/35,16:01:36,+034.67450,-117.83392,0234,0038,+001591,0003,  ,+010.8,083878,
02/28/35,16:01:42,+034.67401,-117.83430,0216,0038,+001626,0003,  ,+010.6,081976,
02/28/35,16:01:48,+034.67362,-117.83483,0230,0035,+001662,0003,  ,+010.4,083208,
02/28/35,16:01:54,+034.67318,-117.83522,0218,0038,+001697,0003,  ,+010.2,082884,
02/28/35,16:02:00,+034.67273,-117.83575,0225,0037,+001733,0003,  ,+010.1,081763,
02/28/35,16:02:06,+034.67225,-117.83617,0216,0044,+001768,0003,  ,+009.8,081204,
02/28/35,16:02:12,+034.67173,-117.83678,0226,0046,+001804,0003,  ,+009.6,081863,
02/28/35,16:02:18,+034.67112,-117.83734,0213,0046,+001841,0003,  ,+009.5,080171,
02/28/35,16:02:24,+034.67062,-117.83799,0228,0053,+001878,0003,  ,+009.2,081231,
02/28/35,16:02:30,+034.66997,-117.83862,0216,0053,+001911,0003,  ,+009.0,079366,
02/28/35,16:02:36,+034.66940,-117.83934,0233,0055,+001945,0003,  ,+008.8,080570,
02/28/35,16:02:42,+034.66888,-117.84021,0236,0057,+001972,0003,  ,+008.9,078947,
02/28/35,16:02:48,+034.66839,-117.84095,0228,0053,+002000,0003,  ,+008.6,080058,
02/28/35,16:02:54,+034.66787,-117.84169,0231,0050,+002039,0003,  ,+008.5,079681,
02/28/35,16:03:00,+034.66732,-117.84235,0228,0050,+002081,0003,  ,+008.3,078908,
02/28/35,16:03:06,+034.66685,-117.84291,0219,0044,+002120,0003,  ,+008.0,079082,
02/28/35,16:03:12,+034.66641,-117.84359,0235,0048,+002161,0003,  ,+007.7,078754,
02/28/35,16:03:18,+034.66600,-117.84412,0227,0048,+002191,0003,  ,+007.6,078459,
02/28/35,16:03:24,+034.66549,-117.84490,0239,0050,+002230,0003,  ,+007.4,078174,
02/28/35,16:03:30,+034.66504,-117.84571,0231,0044,+002265,0003,  ,+007.3,076368,
02/28/35,16:03:36,+034.66456,-117.84636,0229,0044,+002303,0003,  ,+007.0,077541,
02/28/35,16:03:42,+034.66420,-117.84709,0240,0051,+002336,0003,  ,+006.8,077284,
02/28/35,16:03:48,+034.66373,-117.84775,0226,0042,+002365,0003,  ,+006.7,075466,
02/28/35,16:03:54,+034.66346,-117.84830,0244,0046,+002398,0003,  ,+006.6,076596,
02/28/35,16:04:00,+034.66299,-117.84910,0227,0040,+002431,0003,  ,+006.3,075301,
02/28/35,16:04:06,+034.66272,-117.84975,0248,0044,+002464,0003,  ,+006.0,076217,
02/28/35,16:04:12,+034.66234,-117.85046,0229,0044,+002496,0003,  ,+005.8,075952,
02/28/35,16:04:18,+034.66202,-117.85103,0243,0037,+002527,0003,  ,+005.7,075682,
02/28/35,16:04:24,+034.66167,-117.85185,0240,0050,+002563,0003,  ,+005.5,075458,
02/28/35,16:04:30,+034.66122,-117.85251,0227,0038,+002602,0003,  ,+005.5,075213,
02/28/35,16:04:36,+034.66096,-117.85303,0239,0042,+002634,0003,  ,+005.5,074967,
02/28/35,16:04:42,+034.66048,-117.85368,0225,0037,+002664,0003,  ,+005.3,074636,
02/28/35,16:04:48,+034.66015,-117.85426,0234,0042,+002694,0003,  ,+005.1,074435,
02/28/35,16:04:54,+034.65970,-117.85482,0226,0040,+002723,0003,  ,+005.0,074031,
02/28/35,16:05:00,+034.65931,-117.85530,0226,0037,+002756,0003,  ,+004.7,073858,
02/28/35,16:05:06,+034.65906,-117.85568,0243,0031,+002781,0003,  ,+004.6,073589,
02/28/35,16:05:12,+034.65875,-117.85632,0234,0042,+002812,0003,  ,+004.8,073367,
02/28/35,16:05:18,+034.65846,-117.85684,0243,0035,+002842,0003,  ,+004.8,073088,
02/28/35,16:05:24,+034.65828,-117.85752,0253,0042,+002872,0003,  ,+004.8,072844,
02/28/35,16:05:30,+034.65798,-117.85812,0236,0035,+002898,0003,  ,+004.8,072611,
02/28/35,16:05:36,+034.65785,-117.85877,0264,0037,+002923,0001,  ,+004.9,072384,
02/28/35,16:05:42,+034.65766,-117.85952,0250,0040,+002955,0002,  ,+004.8,070618,
02/28/35,16:05:48,+034.65758,-117.86018,0261,0037,+002989,0003,  ,+004.8,071795,
02/28/35,16:05:54,+034.65740,-117.86102,0251,0050,+003023,0003,  ,+004.8,070137,
02/28/35,16:06:00,+034.65714,-117.86172,0245,0037,+003053,0003,  ,+004.6,069770,
02/28/35,16:06:06,+034.65698,-117.86248,0255,0050,+003084,0003,  ,+004.4,070989,
02/28/35,16:06:12,+034.65666,-117.86322,0242,0042,+003112,0003,  ,+004.2,070654,
02/28/35,16:06:18,+034.65642,-117.86396,0252,0048,+003144,0003,  ,+004.2,070448,
02/28/35,16:06:24,+034.65606,-117.86484,0240,0051,+003172,0003,  ,+004.0,069444,
02/28/35,16:06:30,+034.65584,-117.86549,0254,0051,+003202,0003,  ,+004.0,069033,
02/28/35,16:06:36,+034.65547,-117.86665,0249,0057,+003235,0003,  ,+003.7,069328,
02/28/35,16:06:42,+034.65520,-117.86747,0243,0046,+003268,0003,  ,+003.6,069404,
02/28/35,16:06:48,+034.65475,-117.86831,0238,0059,+003299,0003,  ,+003.5,069142,
02/28/35,16:06:54,+034.65435,-117.86922,0243,0053,+003335,0003,  ,+003.5,068844,
02/28/35,16:07:00,+034.65396,-117.86988,0229,0040,+003369,0003,  ,+003.5,067011,
02/28/35,16:07:06,+034.65347,-117.87065,0237,0055,+003399,0003,  ,+003.2,068272,
02/28/35,16:07:12,+034.65315,-117.87127,0232,0044,+003429,0003,  ,+003.2,066510,
02/28/35,16:07:18,+034.65266,-117.87193,0232,0055,+003460,0003,  ,+003.2,066259,
02/28/35,16:07:24,+034.65219,-117.87286,0238,0044,+003490,0003,  ,+003.1,066612,
02/28/35,16:07:30,+034.65170,-117.87345,0222,0050,+003521,0003,  ,+002.9,066201,
02/28/35,16:07:36,+034.65119,-117.87417,0236,0048,+003548,0003,  ,+002.5,067048,
02/28/35,16:07:42,+034.65080,-117.87474,0222,0040,+003577,0003,  ,+002.1,066813,
02/28/35,16:07:48,+034.65022,-117.87537,0224,0055,+003606,0003,  ,+001.8,066601,
02/28/35,16:07:54,+034.64975,-117.87602,0227,0042,+003636,0003,  ,+001.6,066337,
02/28/35,16:08:00,+034.64924,-117.87647,0215,0055,+003661,0003,  ,+001.4,065988,
02/28/35,16:08:06,+034.64856,-117.87727,0230,0050,+003692,0003,  ,+001.1,065854,
02/28/35,16:08:12,+034.64802,-117.87788,0218,0051,+003725,0003,  ,+001.0,065001,
02/28/35,16:08:18,+034.64744,-117.87859,0229,0053,+003758,0003,  ,+000.8,063983,
02/28/35,16:08:24,+034.64692,-117.87923,0222,0050,+003788,0003,  ,+000.8,064353,
02/28/35,16:08:30,+034.64626,-117.87986,0219,0053,+003821,0003,  ,+000.5,064832,
02/28/35,16:08:36,+034.64573,-117.88042,0229,0044,+003852,0003,  ,+000.3,064566,
02/28/35,16:08:42,+034.64517,-117.88113,0220,0057,+003882,0003,  ,+000.1,063513,
02/28/35,16:08:48,+034.64458,-117.88170,0224,0046,+003911,0003,  ,+000.2,062714,
02/28/35,16:08:54,+034.64417,-117.88232,0227,0057,+003935,0003,  ,+000.0,063877,
02/28/35,16:09:00,+034.64355,-117.88303,0225,0042,+003971,0003,  ,-000.2,062246,
02/28/35,16:09:06,+034.64308,-117.88377,0229,0055,+004001,0003,  ,-000.6,063366,
02/28/35,16:09:12,+034.64253,-117.88440,0226,0044,+004034,0003,  ,-000.8,061562,
02/28/35,16:09:18,+034.64213,-117.88515,0237,0053,+004067,0003,  ,-001.1,062864,
02/28/35,16:09:24,+034.64164,-117.88587,0235,0046,+004100,0003,  ,-001.3,062608,
02/28/35,16:09:30,+034.64136,-117.88654,0238,0040,+004129,0003,  ,-001.5,062396,
02/28/35,16:09:36,+034.64103,-117.88719,0239,0046,+004154,0003,  ,-001.6,062202,
02/28/35,16:09:42,+034.64053,-117.88789,0224,0048,+004186,0003,  ,-001.8,061945,
02/28/35,16:09:48,+034.64013,-117.88854,0238,0050,+004217,0003,  ,-002.0,061707,
02/28/35,16:09:54,+034.63957,-117.88929,0222,0051,+004247,0003,  ,-002.3,060520,
02/28/35,16:10:00,+034.63921,-117.88994,0236,0046,+004280,0003,  ,-002.4,060307,
02/28/35,16:10:06,+034.63874,-117.89060,0229,0057,+004317,0003,  ,-002.8,060926,
02/28/35,16:10:12,+034.63804,-117.89133,0219,0051,+004350,0003,  ,-003.1,059532,
02/28/35,16:10:18,+034.63744,-117.89207,0232,0057,+004385,0003,  ,-003.3,060450,
02/28/35,16:10:24,+034.63696,-117.89281,0226,0050,+004419,0003,  ,-003.6,060200,
02/28/35,16:10:30,+034.63634,-117.89349,0225,0059,+004448,0003,  ,-004.0,059936,
02/28/35,16:10:36,+034.63582,-117.89429,0226,0057,+004477,0003,  ,-004.3,059730,
02/28/35,16:10:42,+034.63538,-117.89480,0232,0044,+004503,0003,  ,-004.3,059523,
02/28/35,16:10:48,+034.63491,-117.89560,0229,0061,+004539,0003,  ,-004.5,059267,
02/28/35,16:10:54,+034.63437,-117.89645,0236,0048,+004570,0003,  ,-004.5,058295,
02/28/35,16:11:00,+034.63371,-117.89727,0228,0062,+004602,0003,  ,-004.8,058799,
02/28/35,16:11:06,+034.63315,-117.89795,0224,0061,+004623,0003,  ,-005.1,058638,
02/28/35,16:11:12,+034.63249,-117.89878,0227,0048,+004653,0003,  ,-005.2,058405,
02/28/35,16:11:18,+034.63206,-117.89952,0233,0051,+004683,0003,  ,-005.3,056734,
02/28/35,16:11:24,+034.63145,-117.90034,0227,0066,+004712,0003,  ,-005.5,057969,
02/28/35,16:11:30,+034.63089,-117.90101,0223,0059,+004739,0003,  ,-005.8,057769,
02/28/35,16:11:36,+034.63028,-117.90185,0232,0053,+004770,0003,  ,-006.0,057514,
02/28/35,16:11:42,+034.62982,-117.90274,0227,0062,+004803,0003,  ,-006.2,056768,
02/28/35,16:11:48,+034.62919,-117.90346,0234,0050,+004833,0003,  ,-006.3,056368,
02/28/35,16:11:54,+034.62863,-117.90438,0229,0064,+004861,0003,  ,-006.7,056881,
02/28/35,16:12:00,+034.62804,-117.90511,0229,0053,+004892,0003,  ,-006.9,055636,
02/28/35,16:12:06,+034.62743,-117.90605,0228,0068,+004920,0003,  ,-007.3,056466,
02/28/35,16:12:12,+034.62681,-117.90683,0230,0053,+004949,0003,  ,-007.6,054847,
02/28/35,16:12:18,+034.62621,-117.90777,0229,0070,+004977,0003,  ,-007.8,056074,
02/28/35,16:12:24,+034.62557,-117.90855,0228,0055,+005005,0003,  ,-008.1,054525,
02/28/35,16:12:30,+034.62497,-117.90947,0230,0072,+005033,0003,  ,-008.3,055680,
02/28/35,16:12:36,+034.62439,-117.91026,0234,0070,+005057,0003,  ,-008.5,054049,
02/28/35,16:12:42,+034.62382,-117.91137,0238,0064,+005089,0003,  ,-008.8,055280,
02/28/35,16:12:48,+034.62324,-117.91223,0229,0051,+005114,0003,  ,-009.0,054666,
02/28/35,16:12:54,+034.62270,-117.91308,0233,0062,+005145,0003,  ,-009.2,054840,
02/28/35,16:13:00,+034.62235,-117.91386,0239,0061,+005172,0003,  ,-009.4,054703,
02/28/35,16:13:06,+034.62172,-117.91478,0228,0050,+005204,0003,  ,-009.6,053526,
02/28/35,16:13:12,+034.62126,-117.91566,0237,0064,+005234,0003,  ,-009.9,054242,
02/28/35,16:13:18,+034.62070,-117.91640,0227,0048,+005263,0003,  ,-010.2,053580,
02/28/35,16:13:24,+034.62026,-117.91725,0237,0059,+005295,0003,  ,-010.3,052484,
02/28/35,16:13:30,+034.61972,-117.91819,0234,0064,+005329,0003,  ,-010.5,053585,
02/28/35,16:13:36,+034.61919,-117.91908,0225,0055,+005365,0003,  ,-010.8,053337,
02/28/35,16:13:42,+034.61878,-117.91974,0241,0042,+005391,0003,  ,-011.0,053170,
02/28/35,16:13:48,+034.61842,-117.92059,0233,0059,+005416,0003,  ,-011.1,051632,
