Time (ms), X Mangetometer (uT)
2762460,-7.951988220214844
2762540,-7.05176305770874
2762660,-7.05176305770874
2762760,-7.05176305770874
2762850,-7.05176305770874
2762920,-8.552138328552246
2763060,-8.102025985717773
2763160,-6.9017252922058105
2763230,-7.651913166046143
2763360,-5.8514628410339355
2763459,-7.05176305770874
2763559,-7.801950454711914
2763659,-8.252062797546387
2763759,-8.252062797546387
2763819,-7.651913166046143
2763959,-7.801950454711914
2764059,-7.201800346374512
2764159,-7.05176305770874
2764202,-6.601650238037109
2764369,-7.651913166046143
2764458,-6.751688003540039
2764589,-8.102025985717773
2764678,-7.801950454711914
2764768,-7.501875400543213
2764848,-7.651913166046143
2764958,-7.05176305770874
2765088,-8.252062797546387
2765178,-7.05176305770874
2765268,-6.751688003540039
2765358,-8.102025985717773
2765458,-7.05176305770874
2765528,-7.501875400543213
2765658,-7.801950454711914
2765757,-7.05176305770874
2765847,-7.201800346374512
2765977,-8.852212905883789
2766057,-6.9017252922058105
2766157,-7.501875400543213
2766257,-7.651913166046143
2766307,-7.201800346374512
2766457,-7.651913166046143
2766502,-6.751688003540039
2766627,-7.201800346374512
2766757,-6.9017252922058105
2766877,-7.651913166046143
2766956,-7.05176305770874
2767056,-7.201800346374512
2767156,-7.951988220214844
2767256,-6.751688003540039
2767356,-7.501875400543213
2767456,-7.951988220214844
2767586,-7.651913166046143
2767676,-7.501875400543213
2767786,-7.651913166046143
2767856,-7.651913166046143
2767956,-7.651913166046143
2768056,-7.201800346374512
2768102,-7.951988220214844
2768255,-7.651913166046143
2768375,-7.951988220214844
2768455,-6.9017252922058105
2768565,-6.601650238037109
2768665,-6.751688003540039
2768755,-6.601650238037109
2768802,-8.552138328552246
2768955,-7.951988220214844
2769085,-7.651913166046143
2769174,-7.651913166046143
2769264,-8.252062797546387
2769354,-8.552138328552246
2769454,-7.201800346374512
2769524,-6.601650238037109
2769624,-6.9017252922058105
2769724,-7.201800346374512
2769854,-7.201800346374512
2769964,-7.501875400543213
2770064,-8.102025985717773
2770164,-6.001500606536865
2770254,-6.601650238037109
2770353,-7.501875400543213
2770454,-7.501875400543213
2770563,-8.252062797546387
2770663,-7.801950454711914
2770763,-8.102025985717773
2770853,-8.252062797546387
2770953,-6.601650238037109
2771043,-7.05176305770874
2771153,-6.9017252922058105
2771253,-9.152288436889648
2771313,-8.252062797546387
2771402,-7.501875400543213
2771532,-6.151537895202637
2771652,-6.751688003540039
2771762,-6.9017252922058105
2771822,-8.102025985717773
2771932,-7.951988220214844
2772002,-8.552138328552246
2772162,-7.801950454711914
2772212,-7.501875400543213
2772362,-7.05176305770874
2772402,-6.151537895202637
2772562,-7.201800346374512
2772662,-7.201800346374512
2772702,-8.252062797546387
2772832,-7.651913166046143
2772961,-8.552138328552246
2773061,-6.001500606536865
2773161,-8.70217514038086
2773261,-8.102025985717773
2773361,-6.601650238037109
2773461,-7.201800346374512
2773581,-8.552138328552246
2773671,-8.252062797546387
2773771,-7.05176305770874
2773821,-7.801950454711914
2773960,-7.201800346374512
2774060,-6.001500606536865
2774160,-7.05176305770874
2774260,-7.801950454711914
2774360,-9.152288436889648
2774460,-8.252062797546387
2774580,-6.9017252922058105
2774670,-6.751688003540039
2774760,-6.9017252922058105
2774850,-6.9017252922058105
2774960,-7.201800346374512
2775060,-8.102025985717773
2775160,-7.501875400543213
2775269,-7.501875400543213
2775359,-6.601650238037109
2775409,-6.9017252922058105
2775529,-7.801950454711914
2775629,-7.651913166046143
2775759,-6.151537895202637
2775829,-7.05176305770874
2775969,-6.751688003540039
2776089,-8.102025985717773
2776179,-7.951988220214844
2776268,-7.951988220214844
2776358,-7.951988220214844
2776458,-7.951988220214844
2776518,-8.102025985717773
2776658,-7.05176305770874
2776758,-6.301575660705566
2776858,-7.951988220214844
2776978,-7.05176305770874
2777088,-6.751688003540039
2777178,-7.951988220214844
2777268,-8.252062797546387
2777358,-8.102025985717773
2777458,-6.751688003540039
2777557,-8.552138328552246
2777657,-6.151537895202637
2777757,-7.201800346374512
2777857,-7.951988220214844
2777957,-7.951988220214844
