Time (ms), Longitude
1335080,0.0
1336079,0.0
1337078,0.0
1338078,0.0
1339047,0.0
1340066,0.0
1341075,0.0
1342005,0.0
1343094,0.0
1344103,0.0
1345082,0.0
1346082,0.0
1347031,0.0
1348080,0.0
1349110,0.0
1350079,0.0
1351018,0.0
1352067,0.0
1353076,0.0
1354076,0.0
1355105,0.0
1356084,0.0
1357084,0.0
1358083,0.0
1359012,0.0
1360051,0.0
1361104,0.0
1362080,0.0
1363049,0.0
1364001,0.0
1365001,0.0
1366001,0.0
1367076,0.0
1368105,0.0
1369085,0.0
1370084,0.0
1371053,0.0
1372013,0.0
1373082,0.0
1374021,0.0
1375040,0.0
1376109,0.0
1377001,0.0
1378078,0.0
1379077,0.0
1380077,0.0
1381079,0.0
1382001,0.0
1383044,0.0
1384002,0.0
1385073,0.0
1386082,0.0
1387041,0.0
1388070,0.0
1389110,0.0
1390029,0.0
1391048,0.0
1392001,0.0
1393107,0.0
1394076,0.0
1395075,0.0
1396065,0.0
1397094,0.0
1398083,0.0
1399112,0.0
1400082,0.0
1401084,0.0
1402080,0.0
1403001,0.0
1404001,0.0
1405078,0.0
1406107,0.0
1407076,0.0
1408076,0.0
1409085,0.0
1410094,0.0
1411001,0.0
1412053,0.0
1413082,0.0
1414082,0.0
1415011,0.0
1416013,0.0
1417009,0.0
1418079,0.0
1419008,0.0
1420107,0.0
1421076,0.0
1422046,0.0
1423095,0.0
1424064,0.0
1425043,0.0
1426043,0.0
1427102,0.0
1428041,0.0
1429080,0.0
1430110,0.0
1431079,0.0
1432078,0.0
1433078,0.0
1434027,0.0
1435076,0.0
1436085,0.0
1437105,0.0
1438084,0.0
1439087,0.0
1440001,0.0
1441085,0.0
1442081,0.0
1443090,0.0
1444110,0.0
1445001,0.0
1446008,0.0
1447077,0.0
1448106,0.0
1449106,0.0
1450085,0.0
1451085,0.0
1452053,0.0
1453001,0.0
1454003,0.0
1455082,0.0
1456081,0.0
1457110,0.0
1458039,0.0
1459009,0.0
1460082,0.0
1461002,0.0
1462076,0.0
1463076,0.0
1464085,0.0
1465074,0.0
1466073,0.0
1467083,0.0
1468002,0.0
1469071,0.0
1470080,0.0
1471080,0.0
1472079,0.0
1473002,0.0
1474001,0.0
1475017,0.0
1476066,0.0
1477001,0.0
1478005,0.0
1479004,0.0
1480083,0.0
1481001,0.0
1482002,0.0
1483081,0.0
1484050,0.0
1485110,0.0
1486079,0.0
1487008,0.0
1488001,0.0
1489027,0.0
1490016,0.0
1491075,0.0
1492001,0.0
1493044,0.0
1494083,0.0
1495082,0.0
1496082,0.0
1497081,0.0
1498070,0.0
1499083,0.0
1500109,0.0
1501038,0.0
1502067,0.0
1503076,0.0
1504036,0.0
1505075,0.0
1506085,0.0
1507084,0.0
1508043,0.0
1509003,0.0
1510082,0.0
1511081,0.0
1512100,0.0
1513079,0.0
1514089,0.0
1515108,0.0
1516002,0.0
1517006,0.0
1518086,0.0
1519001,0.0
1520075,0.0
1521024,0.0
1522103,0.0
1523082,0.0
1524082,0.0
1525001,0.0
1526100,0.0
1527049,0.0
1528001,0.0
1529008,0.0
1530077,0.0
1531076,0.0
1532076,0.0
1533105,0.0
1534085,0.0
1535074,0.0
1536073,0.0
1537082,0.0
1538035,0.0
1539002,0.0
1540001,0.0
1541001,0.0
1542001,0.0
1543108,0.0
1544077,0.0
1545106,0.0
1546076,0.0
1547085,0.0
1548104,0.0
1549054,0.0
1550063,0.0
1551082,0.0
1552081,0.0
1553011,0.0
1554010,0.0
1555029,0.0
1556079,0.0
1557088,0.0
1558002,0.0
1559077,0.0
1560076,0.0
1561095,0.0
1562074,0.0
1563014,0.0
1564083,0.0
1565092,0.0
1566011,0.0
1567081,0.0
1568001,0.0
1569009,0.0
1570079,0.0
1571108,0.0
1572077,0.0
1573076,0.0
1574076,0.0
1575105,0.0
1576001,0.0
1577084,0.0
1578053,0.0
1579082,0.0
1580111,0.0
1581081,0.0
1582100,0.0
1583079,0.0
1584059,0.0
1585078,0.0
1586077,0.0
1587076,0.0
1588096,0.0
1589075,0.0
1590074,0.0
1591104,0.0
1592083,0.0
1593082,0.0
1594001,0.0
1595081,0.0
1596100,0.0
1597079,0.0
1598089,0.0
1599008,0.0
1600017,0.0
1601077,0.0
1602076,0.0
1603085,0.0
1604085,0.0
1605084,0.0
1606043,0.0
1607001,0.0
1608082,0.0
1609001,0.0
1610080,0.0
1611110,0.0
1612039,0.0
1613078,0.0
1614107,0.0
1615007,0.0
1616076,0.0
1617075,0.0
1618084,0.0
1619084,0.0
1620067,0.0
1621002,0.0
1622082,0.0
1623094,0.0
1624080,0.0
1625080,0.0
1626079,0.0
1627001,0.0
1628007,0.0
1629077,0.0
1630002,0.0
1631075,0.0
1632085,0.0
1633084,0.0
1634103,0.0
