Time (ms), X Acceleration (g)
2962802,-0.96728515625
2962902,-0.96826171875
2963005,-0.9609375
2963111,-0.96484375
2963202,-0.9619140625
2963302,-0.9697265625
2963404,-0.96533203125
2963505,-0.96044921875
2963610,-0.96923828125
2963702,-0.96240234375
2963864,-0.966796875
2963902,-0.9619140625
2964005,-0.96826171875
2964109,-0.9599609375
2964202,-0.97216796875
2964302,-0.96923828125
2964402,-0.97216796875
2964505,-0.96923828125
2964609,-0.9716796875
2964702,-0.96435546875
2964802,-0.96240234375
2964902,-0.96728515625
2965030,-0.97216796875
2965113,-0.9677734375
2965232,-0.96142578125
2965302,-0.96044921875
2965462,-0.97314453125
2965518,-0.96044921875
2965606,-0.958984375
2965702,-0.96484375
2965802,-0.96240234375
2965952,-0.9638671875
2966031,-0.9716796875
2966162,-0.97412109375
2966202,-0.96630859375
2966302,-0.96875
2966402,-0.96044921875
2966505,-0.96923828125
2966607,-0.96630859375
2966741,-0.96875
2966802,-0.9658203125
2966902,-0.96630859375
2967002,-0.9658203125
2967109,-0.96875
2967202,-0.9658203125
2967302,-0.97021484375
2967402,-0.96875
2967559,-0.9658203125
2967602,-0.96337890625
2967702,-0.96875
2967870,-0.9638671875
2967902,-0.96240234375
2968005,-0.97314453125
2968105,-0.96484375
2968202,-0.96875
2968379,-0.97265625
2968402,-0.96435546875
2968588,-0.96826171875
2968602,-0.96142578125
2968759,-0.9619140625
2968802,-0.96630859375
2968902,-0.9716796875
2969078,-0.96337890625
2969102,-0.96044921875
2969268,-0.9755859375
2969302,-0.96728515625
2969402,-0.970703125
2969505,-0.96826171875
2969603,-0.96826171875
2969702,-0.966796875
2969802,-0.96630859375
2969902,-0.9658203125
2970018,-0.96630859375
2970111,-0.9736328125
2970277,-0.96435546875
2970317,-0.96240234375
2970402,-0.96142578125
2970576,-0.96533203125
2970602,-0.96240234375
2970726,-0.96826171875
2970802,-0.9736328125
2970902,-0.97021484375
2971005,-0.96240234375
2971102,-0.970703125
2971202,-0.96142578125
2971325,-0.96533203125
2971402,-0.96484375
2971503,-0.966796875
2971603,-0.96484375
2971702,-0.97021484375
2971802,-0.96484375
2971902,-0.96484375
2972006,-0.9599609375
2972112,-0.966796875
2972202,-0.9677734375
2972302,-0.9609375
2972434,-0.96044921875
2972508,-0.96826171875
2972611,-0.96484375
2972702,-0.96630859375
2972814,-0.96435546875
2972902,-0.96728515625
2973008,-0.9677734375
2973110,-0.96533203125
2973202,-0.96630859375
2973302,-0.9658203125
2973402,-0.97216796875
2973503,-0.95703125
2973611,-0.96875
2973773,-0.97021484375
2973802,-0.96484375
2973923,-0.97509765625
2974033,-0.95849609375
2974122,-0.96533203125
2974203,-0.970703125
2974302,-0.9677734375
2974402,-0.96337890625
2974533,-0.96826171875
2974622,-0.97021484375
2974702,-0.97412109375
2974802,-0.96142578125
2974902,-0.96533203125
2975004,-0.97265625
2975112,-0.966796875
2975202,-0.96923828125
2975302,-0.97265625
2975461,-0.95849609375
2975503,-0.95263671875
2975612,-0.96240234375
2975702,-0.96337890625
2975802,-0.96728515625
2975902,-0.96728515625
2976004,-0.9716796875
2976111,-0.96630859375
2976202,-0.96484375
2976370,-0.966796875
2976402,-0.96240234375
2976549,-0.96728515625
2976602,-0.96142578125
2976702,-0.978515625
2976802,-0.97509765625
2976902,-0.96142578125
2977004,-0.96630859375
2977109,-0.96337890625
2977202,-0.96484375
2977302,-0.96728515625
2977402,-0.96484375
2977538,-0.958984375
2977602,-0.96435546875
2977702,-0.96533203125
2977802,-0.96435546875
2977902,-0.9697265625
2978100,-0.96484375
2978188,-0.9619140625
2978202,-0.96484375
2978378,-0.9619140625
