Time (ms), Z Gyro (deg per sec)
78543,-0.3048780560493469
78643,-0.24390244483947754
78753,-0.3048780560493469
78843,-0.24390244483947754
78943,-0.18292683362960815
79043,-0.3658536672592163
79143,-0.3048780560493469
79243,-0.18292683362960815
79302,-0.3658536672592163
79442,-0.18292683362960815
79523,-0.12195122241973877
79642,-0.3048780560493469
79772,-0.12195122241973877
79803,-0.3048780560493469
79942,-0.24390244483947754
80052,-0.24390244483947754
80152,-0.18292683362960815
80252,-0.3048780560493469
80352,-0.24390244483947754
80452,-0.24390244483947754
80582,-0.18292683362960815
80652,-0.18292683362960815
80751,-0.3048780560493469
80821,-0.18292683362960815
80951,-0.24390244483947754
81051,-0.3048780560493469
81151,-0.12195122241973877
81251,-0.24390244483947754
81351,-0.3048780560493469
81451,-0.12195122241973877
81571,-0.24390244483947754
81661,-0.18292683362960815
81741,-0.24390244483947754
81870,-0.3048780560493469
81950,-0.3048780560493469
82050,-0.3048780560493469
82150,-0.24390244483947754
82260,-0.3048780560493469
82350,-0.24390244483947754
82450,-0.18292683362960815
82580,-0.18292683362960815
82650,-0.24390244483947754
82750,-0.18292683362960815
82850,-0.3048780560493469
82949,-0.24390244483947754
83009,-0.3658536672592163
83149,-0.24390244483947754
83249,-0.24390244483947754
83349,-0.3658536672592163
83449,-0.24390244483947754
83549,-0.3048780560493469
83649,-0.3048780560493469
83749,-0.18292683362960815
83849,-0.3048780560493469
83949,-0.24390244483947754
84079,-0.18292683362960815
84168,-0.24390244483947754
84258,-0.24390244483947754
84358,-0.3048780560493469
84458,-0.24390244483947754
84528,-0.3658536672592163
84638,-0.24390244483947754
84748,-0.24390244483947754
84848,-0.24390244483947754
84948,-0.3048780560493469
85002,-0.18292683362960815
85148,-0.3658536672592163
85248,-0.24390244483947754
85348,-0.3048780560493469
85418,-0.24390244483947754
85547,-0.24390244483947754
85647,-0.24390244483947754
85707,-0.24390244483947754
85847,-0.18292683362960815
85947,-0.3048780560493469
86057,-0.24390244483947754
86157,-0.3048780560493469
86247,-0.3048780560493469
86347,-0.3048780560493469
86407,-0.18292683362960815
86577,-0.3048780560493469
86666,-0.24390244483947754
86706,-0.18292683362960815
86846,-0.3048780560493469
86946,-0.3048780560493469
87076,-0.3048780560493469
87166,-0.3048780560493469
87256,-0.060975611209869385
87326,-0.3658536672592163
87446,-0.24390244483947754
87546,-0.18292683362960815
87645,-0.24390244483947754
87746,-0.3048780560493469
87845,-0.24390244483947754
87945,-0.3048780560493469
88065,-0.3048780560493469
88155,-0.3048780560493469
88245,-0.3048780560493469
88345,-0.24390244483947754
88445,-0.24390244483947754
88585,-0.18292683362960815
88655,-0.3048780560493469
88745,-0.3048780560493469
88835,-0.24390244483947754
88944,-0.3658536672592163
89044,-0.24390244483947754
89154,-0.3658536672592163
89244,-0.3048780560493469
89344,-0.12195122241973877
