Time (ms), Z Mangetometer (uT)
617380,-36.609153747558594
617430,-38.55963897705078
617580,-38.109527587890625
617680,-38.55963897705078
617702,-37.20930099487305
617880,-37.809452056884766
617960,-36.15903854370117
618110,-38.85971450805664
618260,-36.90922927856445
618360,-39.0097541809082
618460,-38.55963897705078
618579,-36.75918960571289
618689,-37.65941619873047
618779,-39.1597900390625
618802,-36.609153747558594
618969,-37.35934066772461
619109,-36.609153747558594
619279,-36.90922927856445
619379,-37.809452056884766
619449,-37.809452056884766
619609,-36.009002685546875
619699,-37.35934066772461
619789,-36.75918960571289
619879,-38.409603118896484
619958,-37.809452056884766
620088,-37.35934066772461
620178,-37.05926513671875
620202,-37.35934066772461
620378,-37.95949172973633
620478,-38.55963897705078
620578,-37.95949172973633
620678,-39.1597900390625
620778,-37.20930099487305
620878,-37.95949172973633
620978,-37.35934066772461
621078,-39.909976959228516
621177,-39.909976959228516
621277,-38.25956344604492
621377,-37.809452056884766
621467,-37.809452056884766
621577,-36.90922927856445
621677,-37.20930099487305
621717,-38.85971450805664
621817,-38.409603118896484
621907,-38.25956344604492
622047,-38.25956344604492
622177,-37.05926513671875
622277,-38.109527587890625
622377,-36.75918960571289
622466,-38.109527587890625
622606,-37.95949172973633
622697,-38.55963897705078
622776,-38.109527587890625
622876,-37.20930099487305
622906,-37.35934066772461
623076,-38.109527587890625
623176,-37.95949172973633
623226,-37.95949172973633
623376,-38.409603118896484
623476,-38.55963897705078
623526,-37.809452056884766
623636,-38.25956344604492
623775,-37.20930099487305
623876,-36.009002685546875
623975,-38.109527587890625
624075,-36.609153747558594
624175,-37.35934066772461
624255,-37.35934066772461
624375,-37.20930099487305
624465,-37.35934066772461
624555,-38.409603118896484
624675,-37.20930099487305
624775,-37.95949172973633
624875,-37.20930099487305
624975,-37.20930099487305
625085,-37.35934066772461
625185,-37.20930099487305
625275,-40.06001663208008
625375,-37.20930099487305
625475,-39.0097541809082
625564,-38.109527587890625
625624,-38.55963897705078
625774,-37.809452056884766
625874,-37.20930099487305
625974,-36.90922927856445
626074,-37.95949172973633
626174,-37.809452056884766
626244,-37.35934066772461
626354,-36.309078216552734
626474,-37.65941619873047
626594,-38.55963897705078
626683,-37.20930099487305
626703,-37.65941619873047
626874,-39.1597900390625
626934,-37.35934066772461
627003,-36.75918960571289
627173,-39.3098258972168
627273,-37.05926513671875
627373,-39.3098258972168
627423,-37.809452056884766
627583,-37.809452056884766
627683,-36.90922927856445
627773,-38.25956344604492
627873,-37.95949172973633
627973,-38.109527587890625
628043,-38.85971450805664
628162,-39.3098258972168
628273,-38.109527587890625
628372,-37.809452056884766
628472,-37.35934066772461
628582,-36.75918960571289
628682,-37.95949172973633
628782,-37.809452056884766
628882,-36.90922927856445
628982,-37.35934066772461
629072,-37.65941619873047
629172,-37.95949172973633
629282,-38.409603118896484
629382,-37.05926513671875
629432,-36.90922927856445
629582,-37.809452056884766
629682,-36.15903854370117
629781,-37.35934066772461
629881,-38.25956344604492
629981,-37.95949172973633
630031,-38.55963897705078
630181,-38.55963897705078
630281,-38.409603118896484
630381,-38.25956344604492
630481,-38.55963897705078
630581,-38.409603118896484
630681,-36.009002685546875
630781,-37.95949172973633
630881,-37.35934066772461
630981,-37.809452056884766
631100,-36.609153747558594
631151,-37.95949172973633
631280,-37.95949172973633
631380,-37.95949172973633
631480,-40.06001663208008
631520,-38.109527587890625
631602,-38.109527587890625
631780,-36.90922927856445
631880,-37.35934066772461
631902,-37.95949172973633
632110,-38.109527587890625
632280,-38.109527587890625
632360,-36.75918960571289
632460,-36.309078216552734
632530,-37.95949172973633
632679,-36.90922927856445
632779,-39.0097541809082
632879,-37.05926513671875
632979,-38.109527587890625
633049,-37.20930099487305
633169,-38.85971450805664
633279,-38.409603118896484
633379,-37.95949172973633
633479,-37.35934066772461
633509,-36.009002685546875
633679,-37.809452056884766
633779,-38.55963897705078
633809,-36.15903854370117
633938,-37.20930099487305
634088,-38.25956344604492
634188,-38.409603118896484
634278,-37.35934066772461
634358,-37.95949172973633
634478,-36.90922927856445
634608,-37.65941619873047
634698,-39.3098258972168
634788,-37.95949172973633
634878,-37.95949172973633
634978,-37.35934066772461
635078,-38.409603118896484
635177,-37.809452056884766
635277,-36.75918960571289
635327,-38.409603118896484
635477,-37.95949172973633
635577,-36.90922927856445
635677,-39.3098258972168
635702,-39.0097541809082
635877,-36.90922927856445
635977,-38.409603118896484
636002,-37.95949172973633
