Time (ms), Battery Current (A)
468501,0.061680376529693604
469082,0.0742449015378952
469562,0.1062273159623146
470101,0.065107062458992
470581,0.0788138136267662
471100,0.0662492960691452
471550,0.0879516527056694
472103,0.0845249593257904
472501,0.081098273396492
473093,0.089093878865242
473599,0.0982317104935646
474001,0.0833827331662178
474525,0.0673915222287178
475097,0.1039428561925888
475501,0.0708182081580162
476001,0.0959472507238388
476525,0.0948050245642662
477096,0.089093878865242
477546,0.0799560472369194
478105,0.0719604417681694
478565,0.0662492960691452
479104,0.0902361050248146
479574,0.0856671929359436
480001,0.0708182081580162
480525,0.0822405070066452
481063,0.0822405070066452
481563,0.0799560472369194
482043,0.0902361050248146
482501,0.1062273159623146
483025,0.0833827331662178
483525,0.0673915222287178
484026,0.0662492960691452
484525,0.0833827331662178
485040,0.0799560472369194
485590,0.0925205647945404
486001,0.0833827331662178
486501,0.0788138136267662
487099,0.0491158552467823
487501,0.0673915222287178
488001,0.0845249593257904
488525,0.0833827331662178
489029,0.0753871276974678
489530,0.0753871276974678
490059,0.0856671929359436
490501,0.0856671929359436
491026,0.0788138136267662
491525,0.0845249593257904
492098,0.0514003150165081
492605,0.0856671929359436
493001,0.097089484333992
493501,0.0719604417681694
494107,0.0662492960691452
494525,0.0822405070066452
495025,0.0662492960691452
495525,0.0845249593257904
496001,0.0959472507238388
496602,0.0959472507238388
497025,0.0673915222287178
497591,0.0696759819984436
498001,0.0833827331662178
498501,0.0959472507238388
499050,0.0799560472369194
499501,0.0742449015378952
500026,0.0833827331662178
500501,0.0822405070066452
501025,0.081098273396492
501525,0.0913783386349678
502058,0.0628226101398468
502501,0.0639648362994194
503001,0.076529361307621
503501,0.0982317104935646
504106,0.0799560472369194
504596,0.076529361307621
505025,0.0708182081580162
505501,0.0959472507238388
506105,0.0982317104935646
506544,0.0662492960691452
507026,0.0822405070066452
507501,0.060538150370121
508001,0.0753871276974678
508525,0.0548270009458065
509103,0.089093878865242
509513,0.0696759819984436
510001,0.0845249593257904
510501,0.076529361307621
511104,0.0571114607155323
511571,0.0571114607155323
512104,0.0799560472369194
512590,0.1005161702632904
513025,0.0582536906003952
513579,0.089093878865242
514001,0.044546939432621
514568,0.0742449015378952
515001,0.0708182081580162
515501,0.0593959204852581
516026,0.0708182081580162
516501,0.0468313992023468
517097,0.0845249593257904
517525,0.0708182081580162
518096,0.073102667927742
518585,0.076529361307621
519105,0.044546939432621
519605,0.0491158552467823
520001,0.073102667927742
520574,0.0593959204852581
521001,0.061680376529693604
521525,0.0799560472369194
522025,0.0662492960691452
522501,0.065107062458992
523025,0.0582536906003952
523513,0.0662492960691452
524025,0.0639648362994194
524501,0.052542544901371
525101,0.0719604417681694
525525,0.0673915222287178
526040,0.0753871276974678
526501,0.073102667927742
527060,0.060538150370121
527589,0.0822405070066452
528001,0.0514003150165081
528598,0.089093878865242
529108,0.0822405070066452
529578,0.0559692308306694
530108,0.0708182081580162
530526,0.081098273396492
531025,0.0673915222287178
531546,0.0491158552467823
532026,0.0479736253619194
532610,0.0548270009458065
533075,0.0799560472369194
533545,0.0571114607155323
534026,0.0479736253619194
534501,0.0673915222287178
535107,0.0776715874671936
535583,0.0959472507238388
536013,0.0548270009458065
536501,0.0696759819984436
537102,0.060538150370121
537562,0.0582536906003952
538025,0.0468313992023468
538601,0.068533755838871
539025,0.0593959204852581
539501,0.0582536906003952
540001,0.0593959204852581
540599,0.0742449015378952
541100,0.068533755838871
541559,0.0559692308306694
542039,0.0559692308306694
542501,0.0411202535033226
543058,0.0491158552467823
543538,0.044546939432621
544001,0.060538150370121
544526,0.060538150370121
545001,0.0582536906003952
545606,0.068533755838871
546106,0.0776715874671936
546525,0.0514003150165081
547001,0.0708182081580162
547605,0.0536847747862339
548001,0.076529361307621
548594,0.0856671929359436
549093,0.0456891693174839
549501,0.0582536906003952
550046,0.0753871276974678
550526,0.052542544901371
551001,0.0502580851316452
551501,0.076529361307621
552101,0.044546939432621
552595,0.0788138136267662
553026,0.0639648362994194
553600,0.065107062458992
554026,0.044546939432621
554501,0.061680376529693604
555001,0.052542544901371
555501,0.0468313992023468
556025,0.0411202535033226
556525,0.068533755838871
557025,0.052542544901371
557501,0.0422624796628952
558001,0.0742449015378952
558501,0.0628226101398468
559001,0.061680376529693604
559501,0.0776715874671936
560106,0.0639648362994194
560575,0.0456891693174839
561045,0.065107062458992
561574,0.0468313992023468
562026,0.0548270009458065
562525,0.0788138136267662
563025,0.0559692308306694
563501,0.0639648362994194
564103,0.0833827331662178
564542,0.052542544901371
565001,0.0708182081580162
565525,0.0639648362994194
566091,0.0559692308306694
566525,0.060538150370121
567001,0.0708182081580162
567525,0.0788138136267662
568026,0.0833827331662178
568599,0.0719604417681694
569028,0.068533755838871
569501,0.0491158552467823
570025,0.0593959204852581
570541,0.044546939432621
571108,0.0776715874671936
571525,0.036551333963871
572001,0.0696759819984436
572580,0.0913783386349678
573106,0.0593959204852581
573606,0.0479736253619194
574056,0.0502580851316452
574605,0.0673915222287178
575025,0.052542544901371
575604,0.0456891693174839
576001,0.0639648362994194
576501,0.0479736253619194
577104,0.065107062458992
577603,0.0833827331662178
578025,0.0559692308306694
578582,0.0536847747862339
579001,0.0411202535033226
579542,0.02855573035776615
580001,0.065107062458992
580601,0.065107062458992
581025,0.0548270009458065
581540,0.0548270009458065
582050,0.0479736253619194
582526,0.0479736253619194
583039,0.0468313992023468
583501,0.0582536906003952
584025,0.044546939432621
584501,0.0319824181497097
585058,0.0399780236184597
585501,0.030840188264846802
586025,0.02741350047290325
586501,0.02284458465874195
587025,0.052542544901371
587501,0.0456891693174839
588001,0.044546939432621
588501,0.0502580851316452
589030,0.036551333963871
589525,0.0422624796628952
590030,0.0456891693174839
590525,0.0456891693174839
591001,0.0833827331662178
591603,0.0399780236184597
592025,0.0548270009458065
592525,0.0491158552467823
593076,0.01028006337583065
593581,0.0342668779194355
594105,0.0342668779194355
594501,0.02284458465874195
595013,0.0422624796628952
595550,0.052542544901371
596001,0.0376935638487339
596560,0.02170235477387905
597079,0.0331246480345726
597539,0.0354091040790081
598025,0.0205601267516613
598501,0.0354091040790081
599088,0.0399780236184597
599577,0.013706750236451626
600120,0.0205601267516613
600501,0.0205601267516613
601001,0.0205601267516613
601606,0.02170235477387905
602106,0.02741350047290325
602501,0.007995604537427425
603013,-0.0034266875591129065
