Time (ms), X Gyro (deg per sec)
60659,-14.553638458251953
60702,-16.054014205932617
60858,-14.25356388092041
60948,-14.25356388092041
61068,-13.503376007080078
61168,-14.853713989257812
61258,-12.753188133239746
61358,-13.95348834991455
61458,-13.203300476074219
61558,-13.95348834991455
61658,-14.25356388092041
61702,-13.203300476074219
61867,-13.95348834991455
61957,-12.303075790405273
62057,-13.503376007080078
62157,-13.053263664245605
62257,-14.10352611541748
62317,-13.95348834991455
62457,-12.753188133239746
62567,-13.653413772583008
62667,-13.95348834991455
62747,-13.053263664245605
62857,-13.503376007080078
62957,-11.8529634475708
63056,-13.653413772583008
63156,-14.25356388092041
63256,-13.503376007080078
63356,-14.853713989257812
63456,-13.95348834991455
63556,-15.303826332092285
63656,-13.053263664245605
63756,-14.25356388092041
63856,-13.95348834991455
63956,-12.603151321411133
64056,-13.353338241577148
64155,-13.503376007080078
64255,-14.553638458251953
64355,-13.203300476074219
64455,-13.503376007080078
64555,-13.653413772583008
